Provinsi,Ibu_Kota_Wilayah,Luas_Wilayah,Persentase_Terhadap_Luas_Wilayah,Jumlah_Pulau
Aceh,Banda Aceh,56835.02,3.01,365
Sumatera Utara,Medan,72437.76,3.83,228
Sumatera Barat,Padang,42107.67,2.23,219
Riau,Pekanbaru,89900.78,4.76,144
Jambi,Jambi,49023.04,2.59,14
Sumatera Selatan,Palembang,86771.92,4.59,24
Bengkulu,Bengkulu,20122.21,1.07,9
Lampung,Bandar Lampung,33570.76,1.78,172
Kepulauan Bangka Belitung,Pangkal Pinang,16670.23,0.88,501
Kepulauan Riau,Tanjung Pinang,8170.38,0.43,2028
DKI Jakarta,Jakarta,661.53,0.04,113
Jawa Barat,Bandung,37053.33,1.96,30
Jawa Tengah,Semarang,34347.43,1.82,71
Daerah Istimewa Yogyakarta,Yogyakarta,3170.36,0.17,37
Jawa Timur,Surabaya,48055.88,2.54,538
Banten,Serang,9355.76,0.5,80
Bali,Denpasar,5582.83,0.3,41
Nusa Tenggara Barat,Mataram,19631.99,1.04,430
Nusa Tenggara Timur,Kupang,46378.11,2.45,653
Kalimantan Barat,Pontianak,147018.06,7.78,260
Kalimantan Tengah,Palangka Raya,153430.36,8.12,71
Kalimantan Selatan,Banjarbaru,37125.43,1.96,165
Kalimantan Timur,Samarinda,126951.76,6.72,244
Kalimantan Utara,Bulungan,69900.89,3.7,196
Sulawesi Utara,Manado,14488.43,0.77,382
Sulawesi Tengah,Palu,61496.98,3.25,1600
Sulawesi Selatan,Makassar,45323.98,2.4,394
Sulawesi Tenggara,Kendari,36139.3,1.91,591
Gorontalo,Gorontalo,12024.98,0.64,127
Sulawesi Barat,Mamuju,16590.67,0.88,69
Maluku,Ambon,46133.83,2.44,1422
Maluku Utara,Sofifi,31465.98,1.67,975
Papua Barat,Manokwari,60308.59,3.19,1498
Papua Barat Daya,Sorong,39103.06,2.07,3082
Papua,Jayapura,81383.32,4.31,544
Papua Selatan,Merauke,117858.97,6.24,7
Papua Tengah,Nabire,61079.59,3.23,50
Papua Pegunungan,Jayawijaya,52508.66,2.78,0
